Mittari;Aika;val
Testausmäärä;Vuosi 2020 Viikko 25;12563
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 25;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 25;3
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 25;0
Tapausten lukumäärä;Vuosi 2020 Viikko 26;54
Testausmäärä;Vuosi 2020 Viikko 26;13959
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 26;1
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 26;1
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 26;0
Tapausten lukumäärä;Vuosi 2020 Viikko 27;46
Testausmäärä;Vuosi 2020 Viikko 27;18274
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 27;1
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 27;1
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 27;0
Tapausten lukumäärä;Vuosi 2020 Viikko 28;38
Testausmäärä;Vuosi 2020 Viikko 28;26080
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 28;0
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 28;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 28;0
Tapausten lukumäärä;Vuosi 2020 Viikko 29;43
Testausmäärä;Vuosi 2020 Viikko 29;30231
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 29;0
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 29;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 29;0
Tapausten lukumäärä;Vuosi 2020 Viikko 30;56
Testausmäärä;Vuosi 2020 Viikko 30;30074
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 30;1
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 30;1
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 30;0
Tapausten lukumäärä;Vuosi 2020 Viikko 31;84
Testausmäärä;Vuosi 2020 Viikko 31;34641
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 31;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 31;2
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 31;0
Tapausten lukumäärä;Vuosi 2020 Viikko 32;169
Testausmäärä;Vuosi 2020 Viikko 32;48786
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 32;1
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 32;2
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 32;0
Tapausten lukumäärä;Vuosi 2020 Viikko 33;175
Testausmäärä;Vuosi 2020 Viikko 33;72535
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 33;1
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 33;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 33;1
Tapausten lukumäärä;Vuosi 2020 Viikko 34;192
Testausmäärä;Vuosi 2020 Viikko 34;98615
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 34;0
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 34;1
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 34;0
Tapausten lukumäärä;Vuosi 2020 Viikko 35;156
Testausmäärä;Vuosi 2020 Viikko 35;108154
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 35;0
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 35;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 35;0
Tapausten lukumäärä;Vuosi 2020 Viikko 36;236
Testausmäärä;Vuosi 2020 Viikko 36;102462
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 36;4
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 36;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 36;0
Tapausten lukumäärä;Vuosi 2020 Viikko 37;354
Testausmäärä;Vuosi 2020 Viikko 37;79725
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 37;5
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 37;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 37;1
Tapausten lukumäärä;Vuosi 2020 Viikko 38;470
Testausmäärä;Vuosi 2020 Viikko 38;97799
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 38;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 38;2
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 38;1
Tapausten lukumäärä;Vuosi 2020 Viikko 39;720
Testausmäärä;Vuosi 2020 Viikko 39;91405
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 39;4
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 39;3
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 39;0
Tapausten lukumäärä;Vuosi 2020 Viikko 40;1130
Testausmäärä;Vuosi 2020 Viikko 40;85043
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 40;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 40;3
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 40;0
Tapausten lukumäärä;Vuosi 2020 Viikko 41;1626
Testausmäärä;Vuosi 2020 Viikko 41;103583
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 41;8
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 41;1
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 41;0
Tapausten lukumäärä;Vuosi 2020 Viikko 42;1275
Testausmäärä;Vuosi 2020 Viikko 42;100011
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 42;3
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 42;4
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 42;1
Tapausten lukumäärä;Vuosi 2020 Viikko 43;1248
Testausmäärä;Vuosi 2020 Viikko 43;97762
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 43;6
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 43;3
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 43;0
Tapausten lukumäärä;Vuosi 2020 Viikko 44;1456
Testausmäärä;Vuosi 2020 Viikko 44;89021
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 44;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 44;6
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 44;1
Tapausten lukumäärä;Vuosi 2020 Viikko 45;1416
Testausmäärä;Vuosi 2020 Viikko 45;89187
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 45;11
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 45;4
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 45;0
Tapausten lukumäärä;Vuosi 2020 Viikko 46;1652
Testausmäärä;Vuosi 2020 Viikko 46;91562
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 46;19
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 46;7
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 46;0
Tapausten lukumäärä;Vuosi 2020 Viikko 47;2601
Testausmäärä;Vuosi 2020 Viikko 47;104308
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 47;28
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 47;15
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 47;3
Tapausten lukumäärä;Vuosi 2020 Viikko 48;3137
Testausmäärä;Vuosi 2020 Viikko 48;132787
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 48;33
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 48;20
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 48;1
Tapausten lukumäärä;Vuosi 2020 Viikko 49;3015
Testausmäärä;Vuosi 2020 Viikko 49;132127
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 49;45
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 49;25
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 49;2
Tapausten lukumäärä;Vuosi 2020 Viikko 50;2907
Testausmäärä;Vuosi 2020 Viikko 50;120640
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 50;38
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 50;34
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 50;3
Tapausten lukumäärä;Vuosi 2020 Viikko 51;2328
Testausmäärä;Vuosi 2020 Viikko 51;123651
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 51;35
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 51;41
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 51;5
Tapausten lukumäärä;Vuosi 2020 Viikko 52;1654
Testausmäärä;Vuosi 2020 Viikko 52;90560
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 52;21
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 52;32
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 52;2
Tapausten lukumäärä;Vuosi 2020 Viikko 53;1848
Testausmäärä;Vuosi 2020 Viikko 53;73982
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 53;27
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 53;28
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 53;6
Tapausten lukumäärä;Vuosi 2021 Viikko 01;1952
Testausmäärä;Vuosi 2021 Viikko 01;76716
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 01;26
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 01;17
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 01;3
Tapausten lukumäärä;Vuosi 2021 Viikko 02;1771
Testausmäärä;Vuosi 2021 Viikko 02;73579
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 02;29
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 02;22
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 02;5
Tapausten lukumäärä;Vuosi 2021 Viikko 03;2354
Testausmäärä;Vuosi 2021 Viikko 03;94981
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 03;27
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 03;31
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 03;7
Tapausten lukumäärä;Vuosi 2021 Viikko 04;2713
Testausmäärä;Vuosi 2021 Viikko 04;106430
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 04;13
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 04;19
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 04;4
Tapausten lukumäärä;Vuosi 2021 Viikko 05;2610
Testausmäärä;Vuosi 2021 Viikko 05;116228
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 05;16
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 05;17
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 05;5
Tapausten lukumäärä;Vuosi 2021 Viikko 06;2554
Testausmäärä;Vuosi 2021 Viikko 06;116777
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 06;22
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 06;14
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 06;4
Tapausten lukumäärä;Vuosi 2021 Viikko 07;3554
Testausmäärä;Vuosi 2021 Viikko 07;127181
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 07;17
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 07;9
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 07;3
Tapausten lukumäärä;Vuosi 2021 Viikko 08;3994
Testausmäärä;Vuosi 2021 Viikko 08;138626
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 08;28
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 08;15
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 08;6
Tapausten lukumäärä;Vuosi 2021 Viikko 09;4455
Testausmäärä;Vuosi 2021 Viikko 09;148410
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 09;18
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 09;21
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 09;5
Tapausten lukumäärä;Vuosi 2021 Viikko 10;4944
Testausmäärä;Vuosi 2021 Viikko 10;150512
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 10;28
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 10;20
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 10;4
Tapausten lukumäärä;Vuosi 2021 Viikko 11;4711
Testausmäärä;Vuosi 2021 Viikko 11;147244
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 11;20
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 11;14
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 11;3
Tapausten lukumäärä;Vuosi 2021 Viikko 12;4186
Testausmäärä;Vuosi 2021 Viikko 12;137841
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 12;26
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 12;19
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 12;1
Tapausten lukumäärä;Vuosi 2021 Viikko 13;3271
Testausmäärä;Vuosi 2021 Viikko 13;126559
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 13;14
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 13;28
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 13;4
Tapausten lukumäärä;Vuosi 2021 Viikko 14;2553
Testausmäärä;Vuosi 2021 Viikko 14;122052
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 14;11
